ID	Grp
USB.192	lr
USB.193	lr
USB.195	lr
USB.196	lr
USB.198	lr
USB.199	lr
USB.201	lr
USB.202	lr
USB.203	lr
USB.204	lr
USB.206	lr
USB.207	lr
USB.208	lr
USB.209	lr
USB.210	lr
USB.212	lr
USB.213	lr
USB.214	lr
USB.215	lr
USB.216	lr
USB.217	lr
USB.218	lr
USB.220	lr
USB.221	lr
USB.222	lr
USB.223	lr
USB.224	lr
USB.226	lr
USB.227	lr
USB.228	lr
USB.229	lr
USB.230	lr
USB.232	lr
USB.233	lr
USB.234	lr
USB.235	lr
USB.236	lr
USB.238	lr
USB.240	lr
USB.241	lr
USB.242	lr
USB.245	lr
USB.246	mcult
USB.248	mcult
USB.249	mcult
USB.250	lr
USB.251	lr
USB.252	lr
USB.253	lr
USB.254	mcult
USB.255	ocult
USB.256	ocult
USB.257	ocult
USB.258	ocult
USB.259	ocult
USB.260	ocult
USB.261	ocult
USB.262	ocult
USB.263	ocult
USB.264	ocult
USB.265	mcult
USB.266	mcult
USB.268	mcult
USB.269	mcult
USB.270	mcult
USB.271	mcult
USB.272	mcult
USB.274	mcult
USB.276	mcult
USB.277	lr
USB.278	lr
USB.279	lr
USB.281	lr
USB.282	mcult
USB.283	lr
USB.284	lr
USB.285	lr
USB.286	lr
USB.287	mcult
USB.290	lr
USB.291	lr
USB.293	lr
USB.294	lr
USB.295	lr
USB.296	lr
USB.297	lr
USB.298	lr
USB.301	lr
USB.302	lr
USB.303	lr
USB.304	lr
USB.306	lr
USB.307	lr
USB.308	lr
USB.309	lr
USB.310	lr
USB.311	lr
USB.312	lr
USB.313	lr
USB.314	lr
USB.315	lr
USB.316	lr
USB.317	lr
USB.318	lr
USB.319	lr
USB.320	lr
USB.322	lr
USB.323	lr
USB.324	lr
USB.325	lr
USB.326	lr
USB.327	lr
USB.328	mcult
USB.330	lr
USB.331	lr
USB.332	lr
USB.333	lr
USB.334	lr
USB.335	lr
USB.336	lr
USB.338	lr
USB.339	lr
USB.341	lr
USB.342	lr
USB.343	lr
USB.345	lr
USB.346	lr
USB.347	lr
USB.348	lr
USB.351	lr
USB.353	lr
USB.354	lr
USB.357	lr
USB.358	mcult
USB.361	lr
USB.362	lr
USB.363	mcult
USB.364	mcult
USB.366	lr
USB.367	lr
USB.368	lr
USB.369	lr
USB.370	lr
USB.371	lr
USB.372	lr
USB.373	lr
USB.374	lr
USB.375	lr
USB.376	lr
USB.377	lr
USB.378	lr
USB.381	lr
USB.382	lr
USB.383	lr
USB.384	lr
USB.385	lr
USB.386	lr
USB.387	lr
USB.388	lr
USB.389	lr
USB.390	lr
USB.392	lr
USB.393	mcult
USB.395	mcult
USB.396	mcult
USB.398	mcult
USB.399	mcult
USB.400	mcult
USB.401	lr
USB.402	lr
USB.403	lr
USB.404	lr
USB.405	lr
USB.407	lr
USB.409	lr
USB.411	mcult
USB.412	lr
USB.414	lr
USB.415	lr
USB.416	lr
USB.417	lr
USB.418	lr
USB.419	lr
USB.420	NA
USB.421	lr
USB.422	lr
USB.423	lr
USB.424	lr
USB.425	lr
USB.426	lr
USB.427	lr
USB.428	lr
USB.429	lr
USB.430	lr
USB.431	lr
USB.432	lr
USB.433	lr
USB.435	lr
USB.436	lr
USB.437	lr
USB.438	lr
USB.439	lr
USB.440	lr
USB.441	lr
USB.442	lr
USB.443	lr
USB.444	lr
USB.445	lr
USB.446	lr
USB.447	lr
USB.448	lr
USB.449	lr
USB.450	lr
USB.451	lr
USB.452	lr
USB.453	lr
USB.454	lr
USB.455	lr
USB.456	lr
USB.459	lr
USB.460	lr
USB.462	lr
USB.463	lr
USB.464	lr
USB.465	lr
USB.466	lr
USB.467	lr
USB.468	lr
USB.469	lr
USB.470	lr
USB.472	lr
USB.473	lr
USB.474	lr
USB.475	lr
USB.476	lr
USB.477	lr
USB.478	lr
USB.479	lr
USB.480	lr
USB.481	lr
USB.484	lr
USB.485	lr
USB.486	lr
USB.488	lr
USB.489	lr
USB.490	lr
USB.492	ocult
USB.494	lr
USB.495	NA
USB.496	ocult
USB.497	lr
USB.498	lr
USB.499	lr
USB.500	lr
USB.502	lr
USB.504	lr
USB.505	lr
USB.506	ocult
USB.510	lr
USB.512	lr
USB.514	lr
USB.516	lr
USB.518	lr
USB.520	lr
USB.521	lr
USB.522	lr
USB.524	lr
USB.525	lr
USB.526	lr
USB.527	lr
USB.528	lr
USB.529	lr
USB.530	lr
USB.531	lr
USB.533	lr
USB.534	lr
USB.535	NA
USB.537	lr
USB.538	lr
USB.540	lr
USB.541	lr
USB.543	lr
USB.544	lr
USB.545	lr
USB.546	lr
USB.548	lr
USB.549	lr
USB.550	lr
USB.551	lr
USB.553	lr
USB.554	lr
USB.555	lr
USB.556	lr
USB.558	lr
USB.559	lr
USB.560	lr
USB.561	lr
USB.562	lr
USB.563	lr
USB.564	lr
USB.565	lr
USB.566	lr
USB.567	lr
USB.568	lr
USB.569	lr
USB.570	lr
USB.571	lr
USB.573	lr
USB.574	lr
USB.575	lr
USB.576	lr
USB.577	lr
USB.578	lr
USB.579	lr
USB.580	lr
USB.581	lr
USB.582	lr
USB.583	lr
USB.584	lr
USB.585	lr
USB.586	lr
USB.587	lr
USB.589	lr
USB.590	lr
USB.591	lr
USB.592	lr
USB.593	lr
USB.594	lr
USB.595	lr
USB.596	lr
USB.597	lr
USB.598	NA
USB.599	lr
USB.602	lr
USB.603	lr
USB.604	lr
USB.607	ocult
USB.608	mcult
USB.609	mcult
USB.611	lr
USB.612	lr
USB.613	mcult
USB.614	lr
USB.615	mcult
USB.616	mcult
USB.617	mcult
USB.618	mcult
USB.619	mcult
USB.620	mcult
USB.622	wt
USB.623	mcult
USB.628	ocult
USB.629	ocult
USB.630	ocult
USB.632	ocult
USB.633	ocult
USB.634	ocult
USB.635	mcult
USB.637	mcult
USB.640	mcult
USB.642	lr
USB.646	mcult
USB.650	lr
USB.654	lr
USB.655	lr
USB.656	lr
USB.658	lr
USB.663	lr
USB.664	lr
USB.666	lr
USB.669	lr
USB.670	lr
USB.672	lr
USB.673	lr
USB.674	lr
USB.675	lr
USB.676	lr
USB.677	lr
USB.678	lr
USB.679	lr
USB.680	lr
USB.682	lr
USB.684	lr
USB.685	NA
USB.686	NA
USB.687	lr
USB.688	lr
USB.689	lr
USB.690	lr
USB.691	lr
USB.694	lr
USB.696	lr
USB.697	lr
USB.699	lr
USB.700	lr
USB.701	lr
USB.703	lr
USB.705	lr
USB.706	lr
USB.707	mcult
USB.708	mcult
USB.710	lr
USB.711	mcult
USB.712	lr
USB.713	lr
USB.715	lr
USB.717	lr
USB.718	lr
USB.719	lr
USB.728	lr
USB.729	lr
USB.730	lr
USB.732	lr
USB.733	lr
USB.734	lr
USB.735	lr
USB.737	lr
USB.740	lr
USB.741	lr
USB.742	lr
USB.743	lr
USB.745	lr
USB.748	lr
USB.749	lr
USB.750	lr
USB.751	lr
USB.752	lr
USB.753	lr
USB.754	lr
USB.755	lr
USB.756	lr
USB.758	lr
USB.759	mcult
USB.761	lr
USB.762	lr
USB.763	lr
USB.765	lr
USB.768	lr
USB.769	lr
USB.771	lr
USB.772	lr
USB.773	lr
USB.776	lr
USB.777	lr
USB.778	lr
USB.779	lr
USB.780	lr
USB.781	lr
USB.782	lr
USB.783	lr
USB.784	lr
USB.786	lr
USB.787	lr
USB.788	lr
USB.792	lr
USB.793	lr
USB.794	lr
USB.795	lr
USB.798	lr
USB.799	lr
USB.800	lr
USB.801	lr
USB.802	lr
USB.803	lr
USB.805	mcult
USB.806	mcult
USB.807	mcult
USB.812	lr
USB.814	lr
USB.818	lr
USB.819	mcult
HN.DBK	NA
HN.HP001	NA
HN.HP002	NA
HN.HP003	NA
HN.HP004	NA
HN.HP005	NA
HN.HP006	NA
HN.HP007	NA
HN.HP008	NA
HN.HP009	NA
HN.HP010	NA
HN.HP011	NA
HN.HP012	NA
HN.HP013	NA
HN.HP014	NA
HN.HP015	NA
HN.HP016	NA
HN.HP017	NA
HN.HP018	NA
HN.HP019	NA
HN.HP020	NA
HN.HP021	NA
HN.HP023	NA
HN.HP024	NA
HN.HP025	wt
HN.HP026	NA
HN.HP027	NA
HN.HP028	NA
HN.HP029	NA
HN.HP030	NA
HN.HP031	NA
HN.HP032	NA
HN.HP033	NA
HN.HP034	NA
HN.HP035	NA
HN.HP036	NA
HN.HP037	NA
HN.HP038	NA
HN.HP039	NA
HN.HP040	NA
HN.HP041	NA
HN.HP056	NA
HN.HP057	NA
HN.HP058	NA
HN.HP059	NA
HN.HP060	NA
HN.HP061	NA
HN.LD07	NA
HN.PR052	NA
HN.PR053	NA
HN.PR054	NA
HN.PR055	NA
HN.SU042	NA
HN.SU043	NA
HN.SU044	NA
HN.SU045	NA
HN.SU046	NA
HN.SU047	NA
HN.SU048	NA
HN.SU049	NA
HN.SU050	NA
HN.SU051	NA
SRR7817178	NA
HN.Mag	NA
HN.PI516	NA
SoyC01	NA
SoyC02	NA
SoyC03	NA
SoyC04	NA
SoyC05	NA
SoyC06	NA
SoyC07	NA
SoyC08	NA
SoyC09	NA
SoyC10	ocult
SoyC11	NA
SoyC12	NA
SoyC13	NA
SoyC14	NA
SoyL01	lr
SoyL02	lr
SoyL03	lr
SoyL04	lr
SoyL05	lr
SoyL06	lr
SoyL07	lr
SoyL08	lr
SoyL09	lr
SoyW01	wt
SoyW02	wt
SoyW03	wt
W05	wt
Wm82	NA
Zhonghuang13	NA
USB.055	NA
USB.350	NA
USB027	NA
PI366122	NA
